State,Capital,Latitude,Longitude,ManMadeLandmarks,NaturalLandmarks,Nickname,MajorTrade,CulturalAspects,InterestingFact,Clue (from Blooket)
Alabama,Montgomery,32.38,-86.3,"U.S. Space & Rocket Center (Huntsville), Civil Rights Memorial","Gulf Coast beaches, Cheaha Mountain, Mobile Bay",Yellowhammer State,"Aerospace/rockets, automobiles, cotton, steel","Civil Rights movement, Southern, gospel music",Rosa Parks' bus boycott began in Montgomery; rockets built in Huntsville,"The Saturn V rockets that carried astronauts to the Moon were designed in the city of Huntsville, which lies in which state, also remembered as the place where Rosa Parks sparked the Montgomery bus boycott?"
Alaska,Juneau,58.3,-134.42,Trans-Alaska Pipeline,"Denali (tallest U.S. peak), glaciers, Arctic tundra",The Last Frontier,"Oil, fishing, tourism","Native Alaskan cultures, Iditarod sled-dog race",Largest state; its capital can't be reached by road,"Sled-dog teams race the long Iditarod trail beneath Denali, the tallest peak in North America, in which giant state, also known as the 'Last Frontier' whose capital Juneau has no roads in or out?"
Arizona,Phoenix,33.45,-112.07,"Hoover Dam, relocated London Bridge (Lake Havasu)","Grand Canyon, Sonoran Desert, saguaro cactus",Grand Canyon State,"Copper mining, electronics, tourism","Navajo & Hopi heritage, Old West",Leads the U.S. in copper; the Grand Canyon is a New 7 Wonder of Nature,"The giant saguaro cacti of the Sonoran Desert, where the Navajo and Hopi have long lived, grow in which state, also famous for the mile-deep Grand Canyon carved by the Colorado River?"
Arkansas,Little Rock,34.74,-92.33,"Crater of Diamonds State Park, Clinton Library","Hot Springs, Ozark Mountains, Buffalo River",The Natural State,"Rice, poultry, retail (Walmart HQ)","Folk and bluegrass music, Ozark crafts",The only place in the U.S. where you can dig your own diamonds; Walmart was founded here,"Visitors dig for and keep real gems at the Crater of Diamonds, the only public diamond mine in the country, in which 'Natural State', also known as the place where Sam Walton opened the first Walmart?"
California,Sacramento,38.58,-121.49,"Golden Gate Bridge, Hollywood, Disneyland","Yosemite, Death Valley, redwoods, Sierra Nevada, Lake Tahoe",The Golden State,"Technology (Silicon Valley), film, agriculture, wine","Hollywood movies, surf culture, diverse","Most populous state; the 1849 Gold Rush; Death Valley is the lowest, hottest U.S. spot","The scorching, below-sea-level depths of Death Valley sit in which state, also known as the 'Golden State' of the 1849 Gold Rush, the Golden Gate Bridge, and Hollywood?"
Colorado,Denver,39.74,-104.99,"Mesa Verde cliff dwellings, U.S. Air Force Academy","Rocky Mountains, Pikes Peak, Garden of the Gods",The Centennial State,"Aerospace, skiing/tourism, technology","Skiing, 'Mile High City'",Denver sits exactly one mile above sea level,"The ancient stone cliff dwellings of Mesa Verde cling to the Rocky Mountains in which state, also known for its 'Mile High City' capital of Denver, exactly one mile above sea level?"
Connecticut,Hartford,41.76,-72.69,"Yale University, USS Nautilus (first nuclear sub), Mark Twain House","Long Island Sound, Connecticut River",The Constitution State,"Insurance, submarines, aerospace",Colonial New England heritage,Often called the 'Insurance Capital'; adopted an early written constitution,"The world's first nuclear-powered submarine was launched in which small New England state, also known as the insurance capital, home to the centuries-old Yale University?"
Delaware,Dover,39.16,-75.52,"Dover Air Force Base, Dover NASCAR Speedway","Atlantic beaches, Delaware Bay",The First State,"Chemicals (DuPont), banking, business incorporation",First State pride,First state to ratify the U.S. Constitution (1787); many companies incorporate here,"More than a million businesses choose to legally register in which tiny state, also proudly known as the 'First State' for being first to ratify the U.S. Constitution?"
Florida,Tallahassee,30.44,-84.28,"Walt Disney World, Kennedy Space Center","Everglades, beaches, the Florida Keys",The Sunshine State,"Tourism, citrus/oranges, aerospace","Latin & Cuban influence (Miami), theme parks",Rockets launch from the Kennedy Space Center; a leading orange grower,"Rockets blast off from the Kennedy Space Center in which state, also known as the 'Sunshine State' of Walt Disney World and the alligator-filled Everglades?"
Georgia,Atlanta,33.75,-84.39,"Coca-Cola HQ, CNN Center, MLK National Historic Site","Okefenokee Swamp, Stone Mountain, Appalachian foothills",The Peach State,"Peaches, peanuts, poultry, film, soft drinks","Civil Rights history, Southern hospitality",Birthplace of Dr. Martin Luther King Jr.; Coca-Cola was invented in Atlanta,"The soft drink Coca-Cola was invented in the city of Atlanta in which state, also known as the 'Peach State' and the birthplace of Dr. Martin Luther King Jr.?"
Hawaii,Honolulu,21.31,-157.86,Pearl Harbor / USS Arizona Memorial,"Volcanoes (Kilauea, Mauna Loa), beaches, Waikiki",The Aloha State,"Tourism, pineapple, coffee, sugarcane","Polynesian culture, hula, surfing",The only island state and the only one that grows coffee; Pearl Harbor was attacked in 1941,"The active Kilauea volcano keeps erupting in which island state, also famous as the 'Aloha State' of Waikiki surf beaches and the Pearl Harbor naval base?"
Idaho,Boise,43.62,-116.2,Craters of the Moon lava fields,"Hells Canyon, Sawtooth Mountains, Snake River",The Gem State,"Potatoes, gemstones, technology",Outdoor recreation,Famous for potatoes; Hells Canyon is the deepest river gorge in North America,"Hells Canyon, a gorge even deeper than the Grand Canyon, slices along the edge of which state, also known as the 'Gem State' famous for growing potatoes?"
Illinois,Springfield,39.8,-89.64,"Willis (Sears) Tower, Lincoln's home","Lake Michigan, prairies, Mississippi River",Land of Lincoln,"Corn, soybeans, finance, manufacturing","Chicago blues, deep-dish pizza",The world's first skyscraper was built in Chicago; Abraham Lincoln's hometown,"The world's very first skyscraper rose in Chicago in which state, also known as the 'Land of Lincoln' and home to the towering Willis Tower?"
Indiana,Indianapolis,39.77,-86.16,Indianapolis Motor Speedway,"Indiana Dunes, Wabash River",The Hoosier State,"Corn, steel, manufacturing, RVs","Basketball passion, auto racing","Home of the Indianapolis 500, the world's most famous car race","Hundreds of thousands of fans pack a legendary oval track for the Indianapolis 500 in which state, also known for its basketball-loving people called Hoosiers?"
Iowa,Des Moines,41.59,-93.62,"Bridges of Madison County, 'Field of Dreams' site","Rolling prairies, Mississippi & Missouri rivers",The Hawkeye State,"Corn, soybeans, pork (#1), ethanol","Farming life, State Fair",Leads the nation in corn and pork; holds the first presidential caucus,"A baseball diamond carved into a cornfield inspired the movie 'Field of Dreams' in which state, also known as the corn-and-pork 'Hawkeye State' that holds the first presidential caucus?"
Kansas,Topeka,39.05,-95.68,Dodge City Old West sites,"Great Plains, Flint Hills, Tornado Alley",The Sunflower State,"Wheat (#1), aircraft (Wichita), cattle","'Wizard of Oz', pioneer & Old West",Top wheat producer; the setting of 'The Wizard of Oz',"Dorothy's farmhouse was swept away by a twister in 'The Wizard of Oz' in which Tornado Alley state, also known as the flat, wheat-growing 'Sunflower State'?"
Kentucky,Frankfort,38.2,-84.87,"Churchill Downs (Kentucky Derby), Fort Knox","Mammoth Cave, Cumberland Falls, bluegrass meadows",The Bluegrass State,"Horses, bourbon, coal, tobacco","Horse racing, bluegrass music, bourbon",Mammoth Cave is the world's longest cave; the U.S. gold is stored at Fort Knox,"Mammoth Cave, the longest cave system in the world, winds beneath which state, also famous for the Kentucky Derby horse race and the gold vault at Fort Knox?"
Louisiana,Baton Rouge,30.46,-91.14,"French Quarter (New Orleans), Superdome","Mississippi River delta, bayous, swamps",The Pelican State,"Oil & gas, seafood, sugarcane, shipping","Mardi Gras, jazz, Cajun & Creole food",Jazz was born in New Orleans; famous for Mardi Gras,"Jazz music was born in the city of New Orleans in which swampy state, also known as the 'Pelican State' that throws the giant Mardi Gras festival each year?"
Maine,Augusta,44.31,-69.78,Portland Head Light and other lighthouses,"Acadia National Park, rocky Atlantic coast",The Pine Tree State,"Lobster, blueberries, lumber & paper","Lobster, lighthouses, seafaring",Catches most of the nation's lobster; the easternmost state,"Acadia National Park is among the first places in the country to see the morning sunrise in which northeastern state, also famous for its lobster and rocky lighthouses?"
Maryland,Annapolis,38.98,-76.49,"U.S. Naval Academy, Fort McHenry",Chesapeake Bay,The Old Line State,"Blue crabs, shipping, biotechnology","Blue crab feasts, sailing",Fort McHenry inspired the national anthem; home of the Naval Academy,"The flag flying over Fort McHenry inspired the words of the national anthem in which state, also known for the U.S. Naval Academy and its steamed blue crabs?"
Massachusetts,Boston,42.36,-71.06,"Freedom Trail, Plymouth Rock, Harvard & MIT","Cape Cod, Atlantic coast",The Bay State,"Education, technology, biotech, fishing","American Revolution, universities",The Pilgrims landed at Plymouth; the Boston Tea Party sparked the Revolution,"The Pilgrims first stepped ashore at Plymouth Rock in which state, also famous for the Boston Tea Party and Harvard, the oldest college in the country?"
Michigan,Lansing,42.73,-84.56,"Detroit auto factories, Mackinac Bridge","Four of the five Great Lakes, Upper Peninsula, Mackinac",The Great Lakes State,"Automobiles, manufacturing","Motown music, car culture",Shaped like a mitten; Detroit is the 'Motor City' and home of Motown,"Four of the five Great Lakes wrap around which mitten-shaped state, also known as the 'Motor City' home of Detroit's car factories and Motown music?"
Minnesota,St. Paul,44.95,-93.09,Mall of America,"10,000+ lakes, Boundary Waters, Mississippi headwaters","Land of 10,000 Lakes","Agriculture, iron-ore mining, medical (Mayo Clinic)","Scandinavian heritage, hockey",The Mississippi River starts here; home of the giant Mall of America,"The mighty Mississippi River trickles to life from a small lake in which state, also known as the 'Land of 10,000 Lakes' with its enormous Mall of America?"
Mississippi,Jackson,32.3,-90.18,"Antebellum mansions, the Blues Trail","Mississippi River, Gulf coast",The Magnolia State,"Cotton, catfish, lumber","Birthplace of the blues, Southern literature",The Delta blues began here; Elvis Presley was born in Tupelo,"The soulful Delta blues was born along the river that shares its name in which Deep South state, also known as the 'Magnolia State' where Elvis Presley was born in Tupelo?"
Missouri,Jefferson City,38.58,-92.17,Gateway Arch (St. Louis),"Ozark Mountains, Mississippi & Missouri rivers",The Show-Me State,"Agriculture, aerospace, brewing","Ragtime & jazz, gateway to the West",The Gateway Arch is the tallest U.S. monument; pioneer trails west began here,"Pioneer wagon trails such as the Oregon Trail set out westward from which state, also famous for the 630-foot Gateway Arch towering over St. Louis?"
Montana,Helena,46.59,-112.04,Little Bighorn Battlefield,"Glacier National Park, Rocky Mountains, plains",Big Sky Country,"Cattle ranching, wheat, mining","Cowboy & ranching life, Native American culture",Nicknamed 'Big Sky Country'; rich in dinosaur fossils,"The Battle of Little Bighorn, where Custer made his last stand, was fought in which state, also known as 'Big Sky Country' and home to Glacier National Park?"
Nebraska,Lincoln,40.81,-96.7,"Chimney Rock, Carhenge","Great Plains, Sandhills, Platte River",The Cornhusker State,"Corn, beef cattle, agriculture","Oregon Trail history, college football",Chimney Rock guided Oregon Trail pioneers; the only state with a one-house legislature,"Oregon Trail pioneers once steered by the tall stone spire of Chimney Rock across which flat state, also known as the corn-growing 'Cornhusker State'?"
Nevada,Carson City,39.16,-119.77,"Las Vegas Strip, Hoover Dam","Mojave Desert, Lake Tahoe, Great Basin",The Silver State,"Casinos/tourism, gold & silver mining",Las Vegas entertainment,Home of Las Vegas and the mysterious Area 51; the driest state,"The secretive military base known as Area 51 hides in the desert of which state, also known as the 'Silver State' that glitters with the neon Las Vegas Strip?"
New Hampshire,Concord,43.21,-71.54,Historic covered bridges,"White Mountains, Mount Washington",The Granite State,"Tourism, manufacturing, maple syrup",'Live Free or Die' spirit,Holds the nation's first presidential primary; Mount Washington has fierce winds,"The nation's very first presidential primary is held every four years in which small state, also known as the 'Granite State' whose bold motto is 'Live Free or Die'?"
New Jersey,Trenton,40.22,-74.76,"Atlantic City boardwalk, Liberty State Park","Atlantic shore, Pine Barrens",The Garden State,"Pharmaceuticals, chemicals, agriculture","Jersey Shore, diners",The Atlantic City boardwalk inspired the Monopoly board,"The streets on the classic Monopoly board were named after the seaside resort of Atlantic City in which state, also known as the crowded yet green 'Garden State'?"
New Mexico,Santa Fe,35.69,-105.94,"Taos Pueblo, Los Alamos labs","Carlsbad Caverns, White Sands, Rio Grande",Land of Enchantment,"Oil & gas, tourism, federal labs","Native American & Hispanic culture, adobe",The first atomic bomb was tested here; famous for the Roswell UFO legend,"The world's first atomic bomb was secretly tested in the desert of which state, also known as the 'Land of Enchantment' famous for the Roswell UFO legend?"
New York,Albany,42.65,-73.75,"Statue of Liberty, Empire State Building, Times Square","Niagara Falls, Adirondacks, Finger Lakes",The Empire State,"Finance (Wall Street), media, tourism","New York City, Broadway, melting pot","Home of Wall Street, the Statue of Liberty, and part of Niagara Falls","Wall Street's stock exchange and the bright lights of Times Square fill the giant city of which state, also famous for the Statue of Liberty and Niagara Falls?"
North Carolina,Raleigh,35.78,-78.64,"Wright Brothers Memorial (Kitty Hawk), Biltmore Estate","Outer Banks, Great Smoky Mountains, Cape Hatteras",The Tar Heel State,"Tobacco, furniture, technology, banking","'First in Flight', NASCAR, barbecue",The Wright Brothers made the first airplane flight at Kitty Hawk,"The Wright Brothers made the world's first powered airplane flight on the dunes of Kitty Hawk in which 'Tar Heel State', also proud to call itself 'First in Flight'?"
North Dakota,Bismarck,46.81,-100.78,"Theodore Roosevelt N.P., International Peace Garden","Badlands, Great Plains, Red River",The Peace Garden State,"Oil (Bakken), wheat, agriculture",Native American & pioneer heritage,An oil boom transformed the state; near the geographic center of North America,"The Badlands once roamed by a young Theodore Roosevelt stretch across which state, also known as the wheat-and-oil 'Peace Garden State' sitting on the Canadian border?"
Ohio,Columbus,39.96,-83.0,"Rock & Roll Hall of Fame, Pro Football Hall of Fame","Lake Erie, Ohio River",The Buckeye State,"Manufacturing, rubber/tires (Akron), farming",Birthplace of aviation and astronauts,Eight U.S. presidents were born here; the Wright Brothers and astronaut Neil Armstrong came from Ohio,"Astronaut Neil Armstrong and the airplane-inventing Wright Brothers were all born in which state, also known as the 'Buckeye State' and home of the Rock & Roll Hall of Fame?"
Oklahoma,Oklahoma City,35.47,-97.52,"National Cowboy Museum, OKC National Memorial","Great Plains, Wichita Mountains, Tornado Alley",The Sooner State,"Oil & natural gas, cattle, wheat","Many Native American nations, Route 66, cowboy culture",Settlers raced to claim land as 'Sooners'; home to dozens of tribal nations,"Settlers who sneaked in early to grab land became known as 'Sooners' in which state, also known for its many Native American nations and historic Route 66?"
Oregon,Salem,44.94,-123.04,Columbia River dams,"Crater Lake, Mount Hood, Pacific coast",The Beaver State,"Timber/lumber, technology, wine","Outdoorsy lifestyle, Portland",Crater Lake is the deepest lake in the U.S.; the Oregon Trail ended here; Nike is based here,"Crater Lake, the deepest lake in the country, fills a collapsed volcano in which state, also known as the 'Beaver State' where the Oregon Trail finally ended?"
Pennsylvania,Harrisburg,40.26,-76.88,"Liberty Bell & Independence Hall (Philadelphia), Gettysburg","Pocono Mountains, Allegheny forests",The Keystone State,"Steel, coal, chocolate (Hershey)","Founding history, Amish country, cheesesteaks",The Declaration of Independence and Constitution were signed in Philadelphia,"The Declaration of Independence was signed in the city of Philadelphia in which state, also famous for the cracked Liberty Bell and Hershey's chocolate?"
Rhode Island,Providence,41.82,-71.41,Newport's Gilded Age mansions,"Narragansett Bay, Atlantic beaches",The Ocean State,"Jewelry, boat building, tourism","Sailing, seaside resorts",The smallest state in the country,"The grand Gilded Age mansions of Newport line a sparkling bay in which state, also known as the smallest state of all, the 'Ocean State'?"
South Carolina,Columbia,34.0,-81.03,"Fort Sumter, historic Charleston","Atlantic beaches, Blue Ridge, Myrtle Beach",The Palmetto State,"Textiles, tobacco, tourism, automobiles","Southern heritage, Gullah culture",The Civil War began at Fort Sumter,"The very first shots of the Civil War were fired at Fort Sumter in which state, also known as the 'Palmetto State' of historic, cobblestoned Charleston?"
South Dakota,Pierre,44.37,-100.35,"Mount Rushmore, Crazy Horse Memorial","Badlands, Black Hills, Great Plains",The Mount Rushmore State,"Agriculture, tourism, cattle","Lakota Sioux culture, Old West (Deadwood)",Four giant presidents are carved into Mount Rushmore,"The Crazy Horse Memorial and the eerie Badlands lie in which state, also world-famous for the four presidents' faces carved into Mount Rushmore?"
Tennessee,Nashville,36.16,-86.78,"Grand Ole Opry, Graceland (Memphis)","Great Smoky Mountains, Mississippi River",The Volunteer State,"Music industry, automobiles, whiskey","Country music (Nashville), blues & rock (Memphis)",Nashville is the country-music capital; Elvis's Graceland is in Memphis,"Elvis Presley's Graceland mansion draws fans to Memphis in which state, also known as the 'Volunteer State' and the home of country music in Nashville?"
Texas,Austin,30.27,-97.74,"The Alamo (San Antonio), NASA Johnson Space Center","Big Bend, Gulf coast, Rio Grande, plains",The Lone Star State,"Oil/petroleum, cattle, technology, cotton","Cowboys, barbecue, Tex-Mex",The second-largest state; once an independent country; 'Remember the Alamo'; NASA Mission Control,"NASA's astronaut 'Mission Control' is based in Houston in which state, also known as the enormous 'Lone Star State' whose defenders made a last stand at the Alamo?"
Utah,Salt Lake City,40.76,-111.89,"Salt Lake Temple, Bonneville Salt Flats","Arches, Zion, Bryce Canyon, Great Salt Lake",The Beehive State,"Copper mining, technology, tourism","Mormon (LDS) heritage, skiing",Has five red-rock national parks; settled by Mormon pioneers; the Great Salt Lake,"The racing-fast Bonneville Salt Flats and the super-salty Great Salt Lake lie in which state, also known as the 'Beehive State' settled by Mormon pioneers?"
Vermont,Montpelier,44.26,-72.58,"Historic covered bridges, Ben & Jerry's factory","Green Mountains, brilliant fall foliage",The Green Mountain State,"Maple syrup (#1), dairy, skiing","Rural life, autumn leaves",The top maple-syrup producer; has the smallest state capital,"The Ben & Jerry's ice-cream factory is a favorite stop in which small New England state, also known as the 'Green Mountain State' that makes the most maple syrup?"
Virginia,Richmond,37.54,-77.44,"Mount Vernon, Monticello, the Pentagon, colonial Williamsburg","Blue Ridge Mountains, Shenandoah, Chesapeake Bay",The Old Dominion,"Government & military, technology, tobacco","Colonial history, presidents",Called the 'Mother of Presidents' (8 were born here); Jamestown was the first English colony,"Jamestown, the first lasting English colony in America, was founded in which state, also known as the 'Mother of Presidents' and home of the Pentagon?"
Washington,Olympia,47.04,-122.9,Space Needle (Seattle),"Mount Rainier, Mount St. Helens, Olympic rainforest, Puget Sound",The Evergreen State,"Aerospace (Boeing), software (Microsoft, Amazon), apples, coffee","Tech industry, coffee, grunge music","Leads the U.S. in apples; Mount St. Helens erupted in 1980; home of Boeing, Microsoft and Starbucks","Mount St. Helens erupted in a huge blast in 1980 in which state, also known as the 'Evergreen State' home of the Space Needle, Boeing jets, and Starbucks coffee?"
West Virginia,Charleston,38.35,-81.63,New River Gorge Bridge,"Appalachian Mountains, New River Gorge",The Mountain State,"Coal mining, natural gas, chemicals","Appalachian culture, bluegrass",Lies entirely within the Appalachians; split from Virginia during the Civil War,"The soaring New River Gorge Bridge arches across which coal-mining state, also known as the 'Mountain State' that split away from Virginia during the Civil War?"
Wisconsin,Madison,43.07,-89.4,Lambeau Field,"Lake Michigan & Lake Superior, Door County",The Badger State,"Dairy & cheese, brewing, paper","Cheese pride, Green Bay Packers",Called 'America's Dairyland' for its cheese and milk,"Football fans wear foam 'cheesehead' hats to cheer the Green Bay Packers in which state, also proudly known as 'America's Dairyland'?"
Wyoming,Cheyenne,41.14,-104.82,Cheyenne Frontier Days rodeo,"Yellowstone, Grand Teton, Devils Tower",The Equality State,"Coal, oil & gas, cattle ranching, tourism","Cowboy & rodeo culture, Wild West","Least-populated state; first to give women the vote; home to Yellowstone, the first national park","Old Faithful erupts on schedule inside Yellowstone, the world's first national park, in which least-populated state, also famous as the first to let women vote?"
