Continent,Country,City,Latitude,Longitude,ManMadeLandmarks,GeographicalLandmarks,InterestingFact,Clue (from Blooket)
Europe,Greece,Santorini,36.4,25.46,Blue-domed churches of Oia,"Volcanic caldera, Aegean Sea","Shaped by a giant volcanic eruption about 3,600 years ago","Whitewashed houses and blue-domed churches perch above a flooded volcanic caldera in which Greek island town, also famous for its clifftop sunsets at Oia?"
Europe,Greece,Mykonos,37.45,25.33,Iconic hilltop windmills,Aegean Sea beaches,Famous for whitewashed houses and bright blue shutters,"Rows of old hilltop windmills overlook the Aegean Sea in which Greek island town, also famous as a whitewashed party destination?"
Europe,Greece,Delphi,38.48,22.5,Ruins of the Temple of Apollo,Slopes of Mount Parnassus,Ancient Greeks believed it was the center of the world,"The ruined Temple of Apollo clings to the slopes of Mount Parnassus in which ancient Greek town, once believed to be the very center of the world?"
Europe,Italy,Florence,43.77,11.26,"Florence Cathedral (Duomo), Uffizi",Arno River,The birthplace of the Renaissance,"The red-tiled dome of the Duomo and the Uffizi gallery rise beside the Arno River in which Italian city, also known as the birthplace of the Renaissance?"
Europe,Italy,Naples,40.85,14.27,Royal Palace; ruins of Pompeii nearby,"Mount Vesuvius, Bay of Naples",The birthplace of pizza,"Steaming Mount Vesuvius looms over the bay beside which southern Italian city, also famous as the birthplace of pizza?"
Europe,Italy,Verona,45.44,10.99,"Roman Arena, Juliet's balcony",Adige River,The setting of Shakespeare's Romeo and Juliet,"A grand Roman arena and a balcony said to be Juliet's draw visitors to which Italian city, also known as the setting of Romeo and Juliet?"
Europe,Italy,Positano,40.63,14.48,Pastel cliffside houses,Amalfi Coast cliffs,Houses cling to steep cliffs above the sea,"Pastel houses tumble down steep seaside cliffs in which Italian village, also famous as a jewel of the Amalfi Coast?"
Europe,France,Nice,43.7,7.27,Promenade des Anglais,"French Riviera, Mediterranean Sea",The glamorous heart of the French Riviera,"The seaside Promenade des Anglais curves along the Mediterranean in which French city, also known as the glamorous heart of the French Riviera?"
Europe,France,Lyon,45.76,4.84,Old Town (Vieux Lyon),Rhône & Saône rivers,Considered France's food capital,"Set where the Rhône and Saône rivers meet, which French city is also famous as the country's food capital?"
Europe,Spain,Seville,37.39,-5.99,"Royal Alcázar, Giralda tower",Guadalquivir River,The home of flamenco dancing,"The Alcázar palace and the Giralda tower rise above the Guadalquivir River in which Spanish city, also known as the home of flamenco?"
Europe,Spain,Granada,37.18,-3.6,The Alhambra palace,Sierra Nevada mountains,The last Moorish stronghold in Spain,"The Moorish palace of the Alhambra overlooks the Sierra Nevada in which Spanish city, also known as the last Moorish stronghold in Spain?"
Europe,Spain,Valencia,39.47,-0.38,City of Arts and Sciences,Mediterranean coast,The birthplace of paella,"The futuristic City of Arts and Sciences gleams in which Mediterranean Spanish city, also famous as the birthplace of paella?"
Europe,Portugal,Porto,41.15,-8.61,Dom Luís I iron bridge,Douro River,Gives its name to port wine,"The double-decker Dom Luís I iron bridge spans the Douro River in which Portuguese city, also famous for giving its name to port wine?"
Europe,Germany,Cologne,50.94,6.96,Cologne Cathedral,Rhine River,Its cathedral took more than 600 years to finish,"A Gothic cathedral that took more than 600 years to finish towers over the Rhine in which German city, also famous for its lively Carnival?"
Europe,United Kingdom,Bath,51.38,-2.36,The Roman Baths,"Natural hot springs, River Avon",Built by the Romans around natural hot springs,"The steaming Roman Baths still fill with natural spring water in which honey-colored English city, whose very name comes from those baths?"
Europe,United Kingdom,Liverpool,53.41,-2.99,The Beatles' Cavern Club,River Mersey,The birthplace of the Beatles,"The Cavern Club on the River Mersey launched a legendary band in which English city, also known as the birthplace of the Beatles?"
Europe,Switzerland,Lucerne,47.05,8.31,Chapel Bridge (Kapellbrücke),"Lake Lucerne, Mount Pilatus",Its wooden bridge is among the oldest in Europe,"A wooden covered bridge, one of Europe's oldest, crosses the water beside Mount Pilatus in which Swiss city on its own lake?"
Europe,Switzerland,Interlaken,46.69,7.85,,"Between Lakes Thun and Brienz, Jungfrau",The adventure-sports gateway to the Alps,"Wedged between two alpine lakes beneath the Jungfrau peak sits which Swiss town, also known as a gateway for adventure sports?"
Europe,Austria,Salzburg,47.8,13.05,Hohensalzburg Fortress,"Eastern Alps, Salzach River",Birthplace of Mozart and setting of 'The Sound of Music',"A hilltop fortress overlooks the birthplace of Mozart in which Austrian city, also famous as the setting of 'The Sound of Music'?"
Europe,Poland,Kraków,50.06,19.94,Wawel Castle,Vistula River,Poland's former royal capital,"Wawel Castle stands above the Vistula River in which city, also known as Poland's former royal capital?"
Europe,Czechia,Český Krumlov,48.81,14.32,Český Krumlov Castle,Bend of the Vltava River,A perfectly preserved medieval town,"A fairytale castle loops around a bend of the Vltava River in which tiny Czech town, also famous as a perfectly preserved medieval gem?"
Europe,Belgium,Bruges,51.21,3.22,Belfry of Bruges,Medieval canals,Nicknamed the 'Venice of the North',"Medieval canals wind past a tall belfry in which Belgian city, also nicknamed the 'Venice of the North'?"
Europe,Croatia,Dubrovnik,42.64,18.11,Old town city walls,Adriatic Sea,Nicknamed the 'Pearl of the Adriatic',"Massive stone walls ring an old town above the Adriatic Sea in which Croatian city, also nicknamed the 'Pearl of the Adriatic'?"
Europe,Croatia,Split,43.51,16.44,Diocletian's Palace,Adriatic coast,Grew up inside a Roman emperor's palace,An entire old town grew up inside a Roman emperor's palace in which sunny Croatian city on the Adriatic coast?
Europe,Norway,Bergen,60.39,5.32,Bryggen wharf houses,Surrounded by fjords and seven mountains,The gateway to Norway's fjords,"Colorful wooden wharf houses called Bryggen line the harbor of which Norwegian city, also known as the gateway to the fjords?"
Europe,Ireland,Galway,53.27,-9.05,Latin Quarter streets,"Wild Atlantic coast, Cliffs of Moher nearby",A lively hub of traditional Irish music,Traditional Irish music spills from the Latin Quarter near the Cliffs of Moher in which lively city on Ireland's wild Atlantic coast?
Europe,Netherlands,Rotterdam,51.92,4.48,"Cube Houses, modern skyline",Nieuwe Maas river,Home to Europe's largest seaport,"Bold modern Cube Houses and Europe's busiest seaport define which Dutch city, rebuilt with daring architecture after World War II?"
Asia,Turkey,Cappadocia,38.65,34.83,"Cave churches, hot-air balloons",'Fairy chimney' rock formations,Famous for sunrise hot-air balloon rides,"Hot-air balloons drift at sunrise over 'fairy chimney' rock towers in which region of Turkey, also famous for homes and churches carved into the rock?"
Asia,Turkey,Pamukkale,37.92,29.12,Ancient city of Hierapolis,White travertine mineral terraces,Its name means 'cotton castle',"Bright white terraces of mineral pools cascade down a hillside in which Turkish spot, whose name means 'cotton castle'?"
Asia,Turkey,Ephesus,37.94,27.34,Library of Celsus ruins,Aegean coastal plain,One of the best-preserved ancient cities,"The grand facade of the Library of Celsus still stands among the ruins of which ancient Turkish city, one of the best-preserved on Earth?"
Asia,India,Jaipur,26.91,75.79,"Hawa Mahal, Amber Fort","Aravalli Hills, edge of Thar Desert",Known as the 'Pink City',"The honeycomb Hawa Mahal and the hilltop Amber Fort rise in which Indian city, also nicknamed the 'Pink City'?"
Asia,India,Varanasi,25.32,82.97,Riverside ghats (steps),Ganges River,"One of the world's oldest living cities, holiest to Hindus","Pilgrims bathe at riverside stone steps along the Ganges in which Indian city, one of the oldest living cities and holiest to Hindus?"
Asia,India,Udaipur,24.58,73.71,Lake Palace,Lake Pichola,Called the 'City of Lakes',"A white marble palace seems to float on Lake Pichola in which Indian city, also known as the 'City of Lakes'?"
Asia,India,Jaisalmer,26.92,70.92,Golden sandstone fort,Thar Desert,A living fort city rising from the desert,"A golden sandstone fort full of homes rises straight from the Thar Desert in which Indian city, also called the 'Golden City'?"
Asia,Japan,Osaka,34.69,135.5,Osaka Castle,Yodo River delta,Japan's street-food capital,"A grand moated castle towers over which Japanese city, also famous as the country's street-food capital?"
Asia,Japan,Hiroshima,34.39,132.46,Atomic Bomb Dome (Peace Memorial),Seto Inland Sea coast,Rebuilt after the 1945 atomic bombing,"The skeletal Atomic Bomb Dome is preserved as a peace memorial in which Japanese city, rebuilt after the 1945 atomic bombing?"
Asia,Japan,Nara,34.69,135.81,Tōdai-ji Great Buddha hall,Nara Park,Tame deer roam freely through the city,"A giant bronze Buddha sits in a vast wooden hall in which Japanese city, also famous for the tame deer that roam its park?"
Asia,China,Yangshuo,24.78,110.49,,"Karst limestone peaks, Li River",Its scenery features on China's money,"Jagged karst peaks rise along the Li River around which Chinese town, whose dreamy scenery appears on China's money?"
Asia,China,Chengdu,30.57,104.07,Giant Panda Breeding Base,Sichuan Basin,The home of the giant panda,"A famous breeding base for giant pandas sits in which Chinese city in the Sichuan Basin, also known as the home of the panda?"
Asia,China,Hong Kong,22.32,114.17,Victoria Peak skyline,Victoria Harbour,One of the world's most dramatic city skylines,"A tram climbs to Victoria Peak for a view over a glittering harbor in which Chinese city, famous for one of the world's great skylines?"
Asia,Thailand,Chiang Mai,18.79,98.98,Doi Suthep mountain temple,Northern mountains,The center of Thailand's old Lanna culture,"Mountain temples like Doi Suthep watch over which northern Thai city, also known as the heart of old Lanna culture?"
Asia,Thailand,Phuket,7.88,98.39,The Big Buddha,Andaman Sea beaches,Thailand's largest island,"A giant white Buddha overlooks Andaman Sea beaches on which Thai destination, also the country's largest island?"
Asia,Vietnam,Hoi An,15.88,108.34,"Lantern-lit old town, Japanese Bridge",Thu Bon River,Its streets glow with thousands of lanterns,"Thousands of glowing lanterns light an old town by the Thu Bon River in which Vietnamese city, also famous for its Japanese covered bridge?"
Asia,Indonesia,Bali,-8.34,115.09,Sea temple of Tanah Lot,Volcanoes and rice terraces,Called the 'Island of the Gods',"Sea temples and terraced rice paddies cover which Indonesian island, also lovingly called the 'Island of the Gods'?"
Asia,United Arab Emirates,Abu Dhabi,24.45,54.38,Sheikh Zayed Grand Mosque,Persian Gulf coast,The capital of the UAE (not Dubai),"The vast white Sheikh Zayed Grand Mosque rises on the Persian Gulf in which city, the capital of the UAE — not Dubai?"
Asia,Jordan,Wadi Rum,29.57,35.42,,Red desert valley and sandstone cliffs,Used as the planet 'Mars' in many movies,Red sand and towering sandstone cliffs have stood in for the planet Mars in many films shot in which Jordanian desert valley?
Asia,Israel,Tel Aviv,32.07,34.78,Bauhaus 'White City',Mediterranean beaches,Israel's modern beach metropolis,"Hundreds of white Bauhaus buildings line Mediterranean beaches in which Israeli city, known as the country's modern, fun-loving metropolis?"
Asia,Sri Lanka,Sigiriya,7.96,80.76,Lion Rock fortress,Giant rock plateau,A palace was built atop a 200-metre rock,"An ancient palace once crowned a 200-metre rock shaped like a crouching lion at which spot in Sri Lanka, also called Lion Rock?"
Asia,Nepal,Pokhara,28.21,83.99,Lakeside temples,"Phewa Lake, Annapurna peaks",The gateway to Annapurna mountain treks,"Calm Phewa Lake mirrors the snowy Annapurna peaks beside which Nepalese city, also the gateway to Himalayan treks?"
Asia,Myanmar,Bagan,21.17,94.86,Thousands of ancient temples,Irrawaddy River plain,"Over 2,000 temples dot a single plain","More than two thousand ancient temples dot a single plain by the Irrawaddy River at which place in Myanmar, famous for its sea of temples?"
Asia,South Korea,Busan,35.18,129.08,Gamcheon Culture Village,"Haeundae Beach, the sea",South Korea's biggest port city,"A colorful hillside 'culture village' tumbles toward Haeundae Beach in which South Korean city, also the country's biggest port?"
Asia,Uzbekistan,Samarkand,39.65,66.96,The Registan square,"Zarafshan Valley, Silk Road",A jewel of the ancient Silk Road,"The tiled domes of the Registan square shine in which Uzbek city, a fabled jewel of the ancient Silk Road?"
Asia,Malaysia,George Town,5.41,100.33,Heritage shophouses and street art,Penang Island coast,Famous for its food and wall murals,"Old shophouses covered in street-art murals fill which Malaysian city on Penang Island, also famous for its food?"
Asia,Philippines,El Nido,11.2,119.42,,Limestone cliffs and hidden lagoons,Secret beaches reached only by boat,"Hidden lagoons nestle among towering limestone cliffs reached only by boat at which spot in the Philippines, on the island of Palawan?"
Africa,Morocco,Fez,34.04,-5.0,Ancient walled medina,Middle Atlas foothills,Home to the world's oldest university,"A maze-like walled medina holds the world's oldest university in which Moroccan city, also one of the country's ancient imperial cities?"
Africa,Morocco,Chefchaouen,35.17,-5.27,Blue-painted old town,Rif Mountains,Famous as the 'Blue City' of the mountains,"Streets and walls painted every shade of blue climb the Rif Mountains in which Moroccan town, also known simply as the 'Blue City'?"
Africa,Egypt,Luxor,25.69,32.64,"Karnak Temple, Valley of the Kings",Nile River,Called the world's greatest open-air museum,"The vast Karnak Temple and the Valley of the Kings line the Nile at which Egyptian city, also called the world's greatest open-air museum?"
Africa,Tanzania,Zanzibar,-6.16,39.2,Stone Town,Indian Ocean island,Known as the 'Spice Island',"Narrow lanes of Stone Town wind across which Indian Ocean island off Tanzania, also known as the 'Spice Island'?"
Africa,Kenya,Mombasa,-4.04,39.67,Fort Jesus,Indian Ocean coast,Kenya's historic coastal port,"Old Fort Jesus guards the Indian Ocean harbor of which Kenyan city, the country's historic coastal port?"
Africa,South Africa,Durban,-29.86,31.02,Golden Mile beachfront,Indian Ocean coast,South Africa's warmest big-city beaches,"A warm 'Golden Mile' of beaches stretches along the Indian Ocean in which South African city, also one of its busiest ports?"
Africa,Ethiopia,Lalibela,12.03,39.04,Rock-hewn churches,Ethiopian Highlands,Eleven churches carved down into solid rock,"Eleven churches were carved straight down into solid rock in which Ethiopian highland town, a famous Christian pilgrimage site?"
Africa,Namibia,Swakopmund,-22.68,14.53,German colonial buildings,Where the Namib dunes meet the Atlantic,A desert town right beside the ocean,German colonial buildings sit where towering Namib dunes meet the Atlantic in which Namibian seaside town?
Africa,Tunisia,Sidi Bou Said,36.87,10.35,Blue-and-white hilltop village,Cliffs over the Gulf of Tunis,Famous blue doors overlooking the sea,Blue doors and white walls overlook the sea from which clifftop village near Tunis?
Africa,Senegal,Gorée Island,14.67,-17.4,House of Slaves,Atlantic island off Dakar,A small island with a powerful history,"The somber House of Slaves stands on which small Atlantic island just off Dakar, a powerful place of memory?"
North America,United States,New Orleans,29.95,-90.07,The French Quarter,Mississippi River delta,The birthplace of jazz,"Jazz drifts from the historic French Quarter near the mouth of the Mississippi in which U.S. city, also famous for Mardi Gras?"
North America,United States,Chicago,41.88,-87.63,"Willis Tower, Cloud Gate ('The Bean')",Lake Michigan shore,Home of the world's first skyscraper,"The shiny 'Bean' sculpture and the Willis Tower rise beside Lake Michigan in which U.S. city, also home of the first skyscraper?"
North America,United States,Las Vegas,36.17,-115.14,The neon Strip,Mojave Desert,A glittering city in the middle of the desert,"A glittering neon Strip lights up the Mojave Desert in which U.S. city, also famous for its casinos?"
North America,United States,Seattle,47.61,-122.33,Space Needle,"Puget Sound, Mount Rainier",The home of Starbucks and grunge music,"The space-age Space Needle towers near Puget Sound and Mount Rainier in which U.S. city, also the home of Starbucks?"
North America,Canada,Quebec City,46.81,-71.21,Château Frontenac,St. Lawrence River,The only walled city in North America north of Mexico,"The grand Château Frontenac overlooks the St. Lawrence in which Canadian city, the only walled city in North America north of Mexico?"
North America,Canada,Banff,51.18,-115.57,,"Canadian Rockies, Lake Louise",Canada's first national park town,"Turquoise Lake Louise shines among the Canadian Rockies near which town, set inside Canada's first national park?"
North America,Canada,Montreal,45.5,-73.57,Notre-Dame Basilica,Island in the St. Lawrence River,A major French-speaking city outside France,"The grand Notre-Dame Basilica stands on an island in the St. Lawrence in which Canadian city, a major French-speaking metropolis?"
North America,Mexico,Tulum,20.21,-87.47,Clifftop Maya ruins,Caribbean Sea beaches,Maya ruins perched above the sea,Maya ruins perch on a cliff above turquoise Caribbean water at which Mexican town on the Yucatán coast?
North America,Mexico,Oaxaca,17.07,-96.72,Santo Domingo church; Monte Albán nearby,Sierra Madre mountains,Famous for its food and colorful crafts,"Colorful crafts and famous food fill which Mexican city in the Sierra Madre, near the ancient ruins of Monte Albán?"
North America,Guatemala,Antigua,14.56,-90.73,Colonial ruins and cobbled streets,Surrounded by volcanoes,Guatemala's former colonial capital,"Cobbled streets and colonial ruins sit beneath three volcanoes in which Guatemalan city, the country's former capital?"
North America,Cuba,Trinidad,21.8,-79.98,Colonial old town,"Caribbean coast, Escambray Mountains",A town that looks frozen in colonial times,A colonial old town seems frozen in time near the Escambray Mountains in which Cuban city?
South America,Colombia,Cartagena,10.39,-75.51,Walled old city,Caribbean Sea,A Spanish colonial port ringed by fortress walls,Thick stone fortress walls ring a colorful colonial old town on the Caribbean in which Colombian city?
South America,Brazil,Salvador,-12.97,-38.51,Pelourinho old town,Atlantic coast of Bahia,The heart of Afro-Brazilian culture,The colorful Pelourinho district beats with Afro-Brazilian music in which Brazilian city on the coast of Bahia?
South America,Argentina,Bariloche,-41.13,-71.31,Swiss-style chocolate town,"Andean lakes, Nahuel Huapi",Argentina's alpine lake-district resort,"Swiss-style chocolate shops sit among Andean lakes in which Argentine town, the heart of the country's lake district?"
South America,Argentina,Ushuaia,-54.8,-68.3,,"Beagle Channel, Tierra del Fuego",The southernmost city in the world,"Ships set off for Antarctica from the Beagle Channel at which Argentine city, often called the southernmost city in the world?"
South America,Argentina,Mendoza,-32.89,-68.84,Wine bodegas,"Andes foothills, Mount Aconcagua nearby",Argentina's wine capital,"Vineyards spread below the Andes near towering Mount Aconcagua at which Argentine city, the country's wine capital?"
South America,Chile,Valparaíso,-33.05,-71.62,Colorful hillside houses and funiculars,Pacific coast hills,A maze of painted hills and cliff elevators,Colorful houses and old funicular elevators climb steep hills above the Pacific in which Chilean port city?
South America,Chile,San Pedro de Atacama,-22.91,-68.2,Adobe village,"Atacama Desert, geysers, salt flats",Base for exploring the driest desert on Earth,"An adobe village is the base for exploring geysers and salt flats in which spot in Chile's Atacama, the driest desert on Earth?"
South America,Peru,Arequipa,-16.41,-71.54,White volcanic-stone buildings,"El Misti volcano, Colca Canyon",Known as the 'White City' of Peru,"Buildings of white volcanic stone gleam beneath the El Misti volcano in which Peruvian city, also called the 'White City'?"
South America,Bolivia,Sucre,-19.03,-65.26,White colonial old town,Andean highlands,Bolivia's constitutional capital,"A bright white colonial old town high in the Andes is which Bolivian city, the country's constitutional capital?"
Oceania,Australia,Gold Coast,-28.02,153.4,Surfers Paradise skyline,"Long surf beaches, hinterland rainforest",Australia's surfing capital,"High-rise towers line endless surf beaches at Surfers Paradise in which Australian city, also the country's surfing capital?"
Oceania,Australia,Hobart,-42.88,147.33,MONA art museum,"Island of Tasmania, Mount Wellington",The capital of Tasmania,"The edgy MONA art museum sits beneath Mount Wellington in which Australian city, the capital of Tasmania?"
Oceania,New Zealand,Rotorua,-38.14,176.25,Māori cultural villages,Geysers and bubbling mud pools,Sits on a steamy geothermal hotspot,"Geysers shoot up and mud pools bubble amid Māori villages in which New Zealand town, set on a steamy geothermal hotspot?"
Oceania,French Polynesia,Bora Bora,-16.5,-151.74,Overwater bungalows,Turquoise lagoon and volcanic peak,A famous honeymoon paradise,"Overwater bungalows ring a turquoise lagoon around a volcanic peak at which French Polynesian island, a famous honeymoon paradise?"
