Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,"A land of geysers, volcanoes, and glaciers, with the northernmost capital Reykjavik, is which island country?",Ireland,Czech Republic,Iceland,Switzerland,20,3
2,The walled old town of Dubrovnik and the blue Plitvice Lakes line the Adriatic coast of which country?,Slovenia,Croatia,Estonia,Kosovo,20,2
3,Belgrade Fortress overlooks the meeting of the Danube and Sava rivers in the capital of which Balkan country?,Serbia,Netherlands,Malta,Italy,20,1
4,"Bratislava, the only capital bordering two other countries, sits on the Danube in which country?",Slovenia,Bosnia & Herzegovina,Montenegro,Slovakia,20,4
5,Lake Bled with its tiny island church and the Julian Alps belong to which country whose capital is Ljubljana?,Slovakia,Hungary,Andorra,Slovenia,20,4
6,Brave divers leap from the Stari Most old bridge in Mostar in which country with a two-part name?,Ireland,Vatican City,Serbia,Bosnia & Herzegovina,20,4
7,"Known as the 'Land of the Eagles,' with capital Tirana on the Adriatic, is which country?",Netherlands,Romania,Albania,Switzerland,20,3
8,"Ancient Lake Ohrid, one of the oldest lakes on Earth, lies in which country whose capital is Skopje?",North Macedonia,Poland,Sweden,Bosnia & Herzegovina,20,1
9,The dramatic Bay of Kotor belongs to which Adriatic country whose name means 'Black Mountain'?,Kosovo,Latvia,Ukraine,Montenegro,20,4
10,"One of the world's newest countries, declared in 2008 with capital Pristina, is which Balkan nation?",Monaco,Kosovo,Poland,Ireland,20,2
11,"Gediminas' Tower watches over Vilnius, the capital of which Baltic country?",Kosovo,Lithuania,North Macedonia,Bosnia & Herzegovina,20,2
12,"Famous for elegant Art Nouveau buildings, Riga on the Daugava River is the capital of which Baltic country?",Portugal,Latvia,Moldova,Albania,20,2
13,"A beautifully preserved medieval old town fills Tallinn, the capital of which Baltic country?",Estonia,France,Romania,Luxembourg,20,1
14,"A landlocked country of huge ancient forests, with capital Minsk, is which nation?",Belarus,Germany,Ireland,Belgium,20,1
15,"One of Europe's least-visited countries, on the Dniester River between Romania and Ukraine, is which nation?",Andorra,Moldova,Croatia,Poland,20,2
16,"The old Bock Casemates fortifications guard which tiny but very wealthy country, a founder of the EU?",Italy,San Marino,Luxembourg,Albania,20,3
17,"The Monte Carlo Casino and a famous Grand Prix belong to which tiny country on the French Riviera, the world's second smallest?",Monaco,North Macedonia,Switzerland,Croatia,20,1
18,"A tiny Alpine country with no airport, ruled from Vaduz Castle and tucked between Switzerland and Austria, is which nation?",Iceland,Liechtenstein,Portugal,Monaco,20,2
19,"Three towers crown Mount Titano in which country, one of the world's oldest republics, surrounded by Italy?",Netherlands,Russia,San Marino,Czech Republic,20,3
20,"Tucked in the Pyrenees between France and Spain, with capital Andorra la Vella, is which small country?",Andorra,Bosnia & Herzegovina,Monaco,Ireland,20,1
21,"An island country south of Italy, home to St. John's Co-Cathedral in Valletta, is which nation?",Ireland,Albania,Malta,Italy,20,3
22,"An eastern Mediterranean island with the Troodos Mountains, whose capital Nicosia is split in two, is which country?",Cyprus,Russia,Lithuania,Norway,20,1
23,"The vast Sundarbans mangrove forest, home to Bengal tigers, lies in which country whose capital is Dhaka?",Bangladesh,Iraq,Lebanon,Philippines,20,1
24,"A landlocked country crossed by the high Hindu Kush mountains, with capital Kabul, is which nation?",Afghanistan,Japan,Bahrain,North Korea,20,1
25,"The ancient land between the Tigris and Euphrates rivers, with capital Baghdad, is which country?",Yemen,Iraq,Vietnam,Myanmar,20,2
26,"Damascus, one of the oldest continuously lived-in cities, is the capital of which country?",Timor-Leste,China,Syria,Saudi Arabia,20,3
27,"Famous for its ancient cedar trees and the ruins of Baalbek, which country has Beirut as its capital?",Brunei,Philippines,Sri Lanka,Lebanon,20,4
28,"Thousands of ancient temples dot the plains of Bagan in which country, once called Burma, on the Irrawaddy River?",Georgia,Vietnam,North Korea,Myanmar,20,4
29,"The Petronas Twin Towers rise in Kuala Lumpur, the capital of which Southeast Asian country?",Nepal,United Arab Emirates,Lebanon,Malaysia,20,4
30,"A country of more than 7,000 islands, with the Mayon Volcano and capital Manila, is which nation?",Laos,Saudi Arabia,Uzbekistan,Philippines,20,4
31,"A landlocked country on the Mekong River, home to the golden Pha That Luang and capital Vientiane, is which nation?",Kuwait,Laos,Uzbekistan,Japan,20,2
32,"The Gobi Desert and the world's coldest capital, Ulaanbaatar, belong to which country?",Brunei,Uzbekistan,Oman,Mongolia,20,4
33,"The world's largest landlocked country, with vast steppes and capital Astana, is which nation?",Azerbaijan,Laos,Kazakhstan,Armenia,20,3
34,"Samarkand, a famous stop on the ancient Silk Road, lies in which country whose capital is Tashkent?",Maldives,North Korea,Uzbekistan,Malaysia,20,3
35,"One of the world's most closed-off countries, with capital Pyongyang, is which nation?",Indonesia,India,North Korea,Thailand,20,3
36,"Host of the 2022 FIFA World Cup, with the Museum of Islamic Art in Doha, is which Persian Gulf country?",Japan,Saudi Arabia,Qatar,United Arab Emirates,20,3
37,"The Kuwait Towers rise over the capital of which small, oil-rich Persian Gulf country?",Uzbekistan,Kuwait,Philippines,Jordan,20,2
38,"Famous for frankincense, with the Sultan Qaboos Grand Mosque in Muscat, is which country on the Arabian Sea?",Kuwait,Syria,Oman,Philippines,20,3
39,"A small island nation in the Persian Gulf, with capital Manama, is which country?",Bahrain,Maldives,Timor-Leste,Laos,20,1
40,"Socotra Island and its strange dragon-blood trees belong to which country at the tip of Arabia, capital Sana'a?",Kyrgyzstan,Yemen,Pakistan,Iran,20,2
41,The Tiger's Nest monastery clings to a Himalayan cliff in which country that measures 'Gross National Happiness'?,Bhutan,Jordan,Thailand,Myanmar,20,1
42,"The world's lowest and flattest country, made of coral atolls in the Indian Ocean, is which nation?",Armenia,Maldives,Kuwait,Yemen,20,2
43,"A tiny, wealthy country on the island of Borneo, ruled by a sultan from Bandar Seri Begawan, is which nation?",Bahrain,Brunei,Thailand,Turkmenistan,20,2
44,"A fiery gas crater called the 'Door to Hell' burns in the Karakum Desert of which country, capital Ashgabat?",Turkmenistan,Israel,Malaysia,Timor-Leste,20,1
45,"The huge mountain lake Issyk-Kul and the Tian Shan range lie in which country, capital Bishkek?",Yemen,Uzbekistan,China,Kyrgyzstan,20,4
46,"Mostly covered by the high Pamir Mountains, with capital Dushanbe, is which country?",Kyrgyzstan,Tajikistan,Azerbaijan,Oman,20,2
47,"With views of Mount Ararat and one of the world's oldest Christian traditions, capital Yerevan, is which country?",Brunei,Kyrgyzstan,Armenia,Lebanon,20,3
48,"Called the 'Land of Fire,' with the Flame Towers of Baku on the Caspian Sea, is which country?",Mongolia,Georgia,Azerbaijan,Syria,20,3
49,The Narikala Fortress overlooks Tbilisi in which Caucasus country where Europe meets Asia?,Kyrgyzstan,Malaysia,Qatar,Georgia,20,4
50,"One of Asia's newest countries, sharing the island of Timor, with capital Dili, is which nation?",Myanmar,Georgia,Timor-Leste,Israel,20,3
51,"The largest country in Africa, mostly covered by the Sahara, with capital Algiers, is which nation?",Namibia,Ethiopia,Angola,Algeria,20,4
52,"The ruins of ancient Carthage lie near Tunis, the capital of which North African country?",Tunisia,Somalia,São Tomé and Príncipe,Eswatini,20,1
53,"The Roman ruins of Leptis Magna sit on the Mediterranean coast of which mostly-desert country, capital Tripoli?",South Africa,Cameroon,Libya,Equatorial Guinea,20,3
54,"Home to the pyramids of Meroë and the meeting of the Blue and White Nile, with capital Khartoum, is which country?",Seychelles,Rwanda,Equatorial Guinea,Sudan,20,4
55,"The world's newest country, formed in 2011 with capital Juba on the White Nile, is which nation?",South Africa,Gambia,South Sudan,Seychelles,20,3
56,"Lake Volta, one of the largest man-made lakes, and Cape Coast Castle belong to which country, capital Accra?",Benin,Gambia,Mauritius,Ghana,20,4
57,"One of the largest churches in the world stands at Yamoussoukro in which country, also called Côte d'Ivoire?",Ivory Coast,Central African Republic,Namibia,Lesotho,20,1
58,"Lake Victoria, Africa's largest lake and a source of the Nile, borders which country, capital Kampala?",São Tomé and Príncipe,Uganda,Sudan,Nigeria,20,2
59,"Famous for rare mountain gorillas in the Virunga volcanoes, with capital Kigali, is which country?",Liberia,Mauritania,Rwanda,Senegal,20,3
60,"Shaped a bit like Africa in miniature, with the active Mount Cameroon and capital Yaoundé, is which country?",Eswatini,Equatorial Guinea,Cameroon,Malawi,20,3
61,"A large country on the Atlantic coast of southern Africa, with capital Luanda, is which nation?",Ivory Coast,Sierra Leone,Namibia,Angola,20,4
62,"A long Indian Ocean coastline stretches along which southern African country, capital Maputo?",Djibouti,Malawi,Cape Verde,Mozambique,20,4
63,"The watery Okavango Delta spreads across the Kalahari Desert in which country, capital Gaborone?",Seychelles,Sierra Leone,Rwanda,Botswana,20,4
64,"The towering dunes of the Namib, perhaps the world's oldest desert, lie in which country, capital Windhoek?",Uganda,Central African Republic,Namibia,Eritrea,20,3
65,"Lake Malawi, with more fish species than any lake on Earth, gives its name to which country, capital Lilongwe?",Republic of the Congo,Equatorial Guinea,Malawi,Egypt,20,3
66,"With the longest coastline of mainland Africa and capital Mogadishu, is which country in the Horn of Africa?",Ethiopia,Central African Republic,Somalia,Chad,20,3
67,"Shrinking Lake Chad and the Sahara dominate which landlocked country, capital N'Djamena?",Angola,Central African Republic,Somalia,Chad,20,4
68,"One of the hottest countries on Earth, crossed by the Niger River and the Sahara, capital Niamey, is which nation?",Ghana,Niger,Angola,Republic of the Congo,20,2
69,"A Sahel country whose name means 'Land of Honest People,' with capital Ouagadougou, is which nation?",Chad,Libya,Tanzania,Burkina Faso,20,4
70,"The great Niger River begins in the highlands of which West African country, capital Conakry?",Mauritania,Guinea,Tunisia,Malawi,20,2
71,"The birthplace of the Vodun (voodoo) religion, with the royal palaces of Abomey, is which country, capital Porto-Novo?",Eritrea,Malawi,Morocco,Benin,20,4
72,"A long, narrow West African country on the Gulf of Guinea, capital Lomé, is which nation?",Angola,Seychelles,Malawi,Togo,20,4
73,"Founded as a home for freed slaves, with capital Freetown on a hilly peninsula, is which country?",Sierra Leone,Libya,South Africa,Cameroon,20,1
74,"Founded by freed American slaves, with capital Monrovia, is which West African country?",Ghana,Burundi,Liberia,Burkina Faso,20,3
75,"Mostly buried under the Sahara, with capital Nouakchott, is which West African country?",Mauritania,Seychelles,Ethiopia,Senegal,20,1
76,"Nearly 90% covered by rainforest and crossed by the Equator, with capital Libreville, is which country?",Mali,Morocco,Gabon,Rwanda,20,3
77,"Facing its larger neighbor across the Congo River, with capital Brazzaville, is which country?",Republic of the Congo,Tunisia,Namibia,Sierra Leone,20,1
78,"A landlocked country of rainforest and savanna in the very heart of Africa, capital Bangui, is which nation?",Central African Republic,Libya,Eritrea,Guinea-Bissau,20,1
79,"Bordering Lake Tanganyika, the world's second-deepest lake, with capital Gitega, is which small country?",Burundi,Cape Verde,São Tomé and Príncipe,Guinea,20,1
80,"Asmara, famous for its 1930s Art Deco buildings, is the capital of which Red Sea country?",Kenya,Chad,Eritrea,South Africa,20,3
81,"Lake Assal, the lowest point in Africa, lies in which small Horn-of-Africa country whose capital shares its name?",Burundi,Cameroon,Djibouti,Madagascar,20,3
82,"The smallest country in mainland Africa, wrapped around the Gambia River, with capital Banjul, is which nation?",Guinea-Bissau,Niger,Republic of the Congo,Gambia,20,4
83,"Known for the maze-like Bijagós Islands, with capital Bissau, is which small West African country?",Madagascar,Togo,Somalia,Guinea-Bissau,20,4
84,"One of the few Spanish-speaking African nations, with an island capital Malabo, is which country?",Cameroon,Nigeria,Equatorial Guinea,Ivory Coast,20,3
85,"A mountain kingdom completely surrounded by South Africa, with capital Maseru, is which country?",Guinea-Bissau,Equatorial Guinea,Lesotho,Cameroon,20,3
86,"Africa's last absolute monarchy, once called Swaziland, with capital Mbabane, is which country?",Nigeria,Eswatini,Equatorial Guinea,Zambia,20,2
87,"Once home to the extinct dodo bird, this Indian Ocean island nation with capital Port Louis is which country?",Rwanda,South Sudan,Mauritius,Somalia,20,3
88,"A group of Indian Ocean islands with Africa's smallest capital, Victoria, is which country?",Seychelles,Togo,Ethiopia,South Sudan,20,1
89,"Called the 'Perfume Islands,' a volcanic nation with capital Moroni, is which country?",Algeria,Djibouti,Comoros,Chad,20,3
90,"A group of volcanic islands in the Atlantic off West Africa, with capital Praia, is which country?",Tanzania,Angola,Seychelles,Cape Verde,20,4
91,"Africa's second-smallest country, two islands on the Equator in the Gulf of Guinea, is which nation?",Malawi,Kenya,São Tomé and Príncipe,Liberia,20,3
92,"Famous for protecting its rainforests, with the Arenal Volcano and capital San José, is which country?",Grenada,Guatemala,Saint Vincent & Grenadines,Costa Rica,20,4
93,"Lake Nicaragua, home to freshwater sharks, lies in which Central American country, capital Managua?",Bahamas,Trinidad and Tobago,Costa Rica,Nicaragua,20,4
94,"The carved Maya monuments of Copán belong to which Central American country, capital Tegucigalpa?",Panama,Honduras,Mexico,Nicaragua,20,2
95,"The smallest country in Central America, dotted with Pacific volcanoes, capital San Salvador, is which nation?",Belize,Saint Kitts and Nevis,El Salvador,Honduras,20,3
96,"The Great Blue Hole, a giant ocean sinkhole, and a long barrier reef lie off which country, capital Belmopan?",Saint Vincent & Grenadines,Saint Kitts and Nevis,Belize,Panama,20,3
97,"About 700 coral islands in the Caribbean make up which country, capital Nassau?",Trinidad and Tobago,Jamaica,Barbados,Bahamas,20,4
98,"The easternmost Caribbean island, with capital Bridgetown, is which country?",El Salvador,Barbados,Dominica,Costa Rica,20,2
99,"A natural Pitch Lake of asphalt is found in which twin-island Caribbean country, capital Port of Spain?",Nicaragua,Jamaica,Trinidad and Tobago,Antigua and Barbuda,20,3
100,"Two pointy volcanic peaks called the Pitons rise from which Caribbean island country, capital Castries?",Panama,Saint Kitts and Nevis,Saint Lucia,Dominica,20,3
101,"Called the 'Spice Isle' for its nutmeg, with capital St. George's, is which Caribbean country?",Mexico,Bahamas,Grenada,Antigua and Barbuda,20,3
102,"Said to have 365 beaches, one for each day, with capital St. John's, is which Caribbean country?",Antigua and Barbuda,Saint Vincent & Grenadines,Mexico,United States,20,1
103,"The smallest country in the Americas, guarded by Brimstone Hill Fortress, is which two-island nation?",Belize,Honduras,El Salvador,Saint Kitts and Nevis,20,4
104,A chain of small islands with the La Soufrière volcano and capital Kingstown is which country?,Mexico,Guatemala,Trinidad and Tobago,Saint Vincent & Grenadines,20,4
105,"A naturally Boiling Lake bubbles in the rainforest of which Caribbean country, capital Roseau?",Dominican Republic,Dominica,Mexico,Saint Vincent & Grenadines,20,2
106,"One of only two landlocked countries in South America, on the Paraná River with capital Asunción, is which nation?",Colombia,Paraguay,Ecuador,Guyana,20,2
107,"The powerful Kaieteur Falls thunders through the rainforest of which country, capital Georgetown?",Guyana,Suriname,Venezuela,Bolivia,20,1
108,"South America's smallest country, Dutch-speaking with capital Paramaribo, is which nation?",Brazil,Venezuela,Chile,Suriname,20,4
109,"A Pacific island nation near the international date line, with capital Apia, is which country?",Solomon Islands,Samoa,Kiribati,Marshall Islands,20,2
110,"The last Pacific island kingdom, with capital Nuku'alofa, is which country?",Tonga,Kiribati,Solomon Islands,Palau,20,1
111,"Famous for easy-to-visit active volcanoes, with capital Port Vila, is which Pacific country?",Vanuatu,Solomon Islands,Tuvalu,Samoa,20,1
112,"Known for fierce WWII battles like Guadalcanal, with capital Honiara, is which Pacific country?",Solomon Islands,Palau,Kiribati,Fiji,20,1
113,"The mysterious stone city of Nan Madol, built on coral reefs, belongs to which Pacific country, capital Palikir?",Nauru,Solomon Islands,Vanuatu,Micronesia,20,4
114,"Famous for a lake full of harmless jellyfish and the Rock Islands, with capital Ngerulmud, is which Pacific country?",Papua New Guinea,Micronesia,Tuvalu,Palau,20,4
115,"Made of low coral ring-islands in the Pacific, with capital Majuro, is which country?",Tonga,Nauru,Fiji,Marshall Islands,20,4
116,"Straddling both the Equator and the date line, with capital Tarawa, is which Pacific country?",Solomon Islands,Samoa,Papua New Guinea,Kiribati,20,4
117,"The world's smallest island country, built on phosphate rock, is which Pacific nation?",Solomon Islands,Papua New Guinea,Nauru,New Zealand,20,3
118,"One of the lowest-lying nations on Earth, a tiny group of coral atolls with capital Funafuti, is which country?",Vanuatu,Nauru,Tuvalu,Fiji,20,3
