State,Capital,Natural Landmarks,Man-Made Landmarks,Nickname,Major Trade / Industry,Cultural Aspects,Interesting Facts
Alabama,Montgomery,"Gulf Coast beaches, Cheaha Mountain, Mobile Bay","U.S. Space & Rocket Center (Huntsville), Civil Rights Memorial",Yellowhammer State,"Aerospace/rockets, automobiles, cotton, steel","Civil Rights movement, Southern, gospel music",Rosa Parks' bus boycott began in Montgomery; rockets built in Huntsville
Alaska,Juneau,"Denali (tallest U.S. peak), glaciers, Arctic tundra",Trans-Alaska Pipeline,The Last Frontier,"Oil, fishing, tourism","Native Alaskan cultures, Iditarod sled-dog race",Largest state; its capital can't be reached by road
Arizona,Phoenix,"Grand Canyon, Sonoran Desert, saguaro cactus","Hoover Dam, relocated London Bridge (Lake Havasu)",Grand Canyon State,"Copper mining, electronics, tourism","Navajo & Hopi heritage, Old West",Leads the U.S. in copper; the Grand Canyon is a New 7 Wonder of Nature
Arkansas,Little Rock,"Hot Springs, Ozark Mountains, Buffalo River","Crater of Diamonds State Park, Clinton Library",The Natural State,"Rice, poultry, retail (Walmart HQ)","Folk and bluegrass music, Ozark crafts",The only place in the U.S. where you can dig your own diamonds; Walmart was founded here
California,Sacramento,"Yosemite, Death Valley, redwoods, Sierra Nevada, Lake Tahoe","Golden Gate Bridge, Hollywood, Disneyland",The Golden State,"Technology (Silicon Valley), film, agriculture, wine","Hollywood movies, surf culture, diverse","Most populous state; the 1849 Gold Rush; Death Valley is the lowest, hottest U.S. spot"
Colorado,Denver,"Rocky Mountains, Pikes Peak, Garden of the Gods","Mesa Verde cliff dwellings, U.S. Air Force Academy",The Centennial State,"Aerospace, skiing/tourism, technology","Skiing, 'Mile High City'",Denver sits exactly one mile above sea level
Connecticut,Hartford,"Long Island Sound, Connecticut River","Yale University, USS Nautilus (first nuclear sub), Mark Twain House",The Constitution State,"Insurance, submarines, aerospace",Colonial New England heritage,Often called the 'Insurance Capital'; adopted an early written constitution
Delaware,Dover,"Atlantic beaches, Delaware Bay","Dover Air Force Base, Dover NASCAR Speedway",The First State,"Chemicals (DuPont), banking, business incorporation",First State pride,First state to ratify the U.S. Constitution (1787); many companies incorporate here
Florida,Tallahassee,"Everglades, beaches, the Florida Keys","Walt Disney World, Kennedy Space Center",The Sunshine State,"Tourism, citrus/oranges, aerospace","Latin & Cuban influence (Miami), theme parks",Rockets launch from the Kennedy Space Center; a leading orange grower
Georgia,Atlanta,"Okefenokee Swamp, Stone Mountain, Appalachian foothills","Coca-Cola HQ, CNN Center, MLK National Historic Site",The Peach State,"Peaches, peanuts, poultry, film, soft drinks","Civil Rights history, Southern hospitality",Birthplace of Dr. Martin Luther King Jr.; Coca-Cola was invented in Atlanta
Hawaii,Honolulu,"Volcanoes (Kilauea, Mauna Loa), beaches, Waikiki",Pearl Harbor / USS Arizona Memorial,The Aloha State,"Tourism, pineapple, coffee, sugarcane","Polynesian culture, hula, surfing",The only island state and the only one that grows coffee; Pearl Harbor was attacked in 1941
Idaho,Boise,"Hells Canyon, Sawtooth Mountains, Snake River",Craters of the Moon lava fields,The Gem State,"Potatoes, gemstones, technology",Outdoor recreation,Famous for potatoes; Hells Canyon is the deepest river gorge in North America
Illinois,Springfield,"Lake Michigan, prairies, Mississippi River","Willis (Sears) Tower, Lincoln's home",Land of Lincoln,"Corn, soybeans, finance, manufacturing","Chicago blues, deep-dish pizza",The world's first skyscraper was built in Chicago; Abraham Lincoln's hometown
Indiana,Indianapolis,"Indiana Dunes, Wabash River",Indianapolis Motor Speedway,The Hoosier State,"Corn, steel, manufacturing, RVs","Basketball passion, auto racing","Home of the Indianapolis 500, the world's most famous car race"
Iowa,Des Moines,"Rolling prairies, Mississippi & Missouri rivers","Bridges of Madison County, 'Field of Dreams' site",The Hawkeye State,"Corn, soybeans, pork (#1), ethanol","Farming life, State Fair",Leads the nation in corn and pork; holds the first presidential caucus
Kansas,Topeka,"Great Plains, Flint Hills, Tornado Alley",Dodge City Old West sites,The Sunflower State,"Wheat (#1), aircraft (Wichita), cattle","'Wizard of Oz', pioneer & Old West",Top wheat producer; the setting of 'The Wizard of Oz'
Kentucky,Frankfort,"Mammoth Cave, Cumberland Falls, bluegrass meadows","Churchill Downs (Kentucky Derby), Fort Knox",The Bluegrass State,"Horses, bourbon, coal, tobacco","Horse racing, bluegrass music, bourbon",Mammoth Cave is the world's longest cave; the U.S. gold is stored at Fort Knox
Louisiana,Baton Rouge,"Mississippi River delta, bayous, swamps","French Quarter (New Orleans), Superdome",The Pelican State,"Oil & gas, seafood, sugarcane, shipping","Mardi Gras, jazz, Cajun & Creole food",Jazz was born in New Orleans; famous for Mardi Gras
Maine,Augusta,"Acadia National Park, rocky Atlantic coast",Portland Head Light and other lighthouses,The Pine Tree State,"Lobster, blueberries, lumber & paper","Lobster, lighthouses, seafaring",Catches most of the nation's lobster; the easternmost state
Maryland,Annapolis,Chesapeake Bay,"U.S. Naval Academy, Fort McHenry",The Old Line State,"Blue crabs, shipping, biotechnology","Blue crab feasts, sailing",Fort McHenry inspired the national anthem; home of the Naval Academy
Massachusetts,Boston,"Cape Cod, Atlantic coast","Freedom Trail, Plymouth Rock, Harvard & MIT",The Bay State,"Education, technology, biotech, fishing","American Revolution, universities",The Pilgrims landed at Plymouth; the Boston Tea Party sparked the Revolution
Michigan,Lansing,"Four of the five Great Lakes, Upper Peninsula, Mackinac","Detroit auto factories, Mackinac Bridge",The Great Lakes State,"Automobiles, manufacturing","Motown music, car culture",Shaped like a mitten; Detroit is the 'Motor City' and home of Motown
Minnesota,St. Paul,"10,000+ lakes, Boundary Waters, Mississippi headwaters",Mall of America,"Land of 10,000 Lakes","Agriculture, iron-ore mining, medical (Mayo Clinic)","Scandinavian heritage, hockey",The Mississippi River starts here; home of the giant Mall of America
Mississippi,Jackson,"Mississippi River, Gulf coast","Antebellum mansions, the Blues Trail",The Magnolia State,"Cotton, catfish, lumber","Birthplace of the blues, Southern literature",The Delta blues began here; Elvis Presley was born in Tupelo
Missouri,Jefferson City,"Ozark Mountains, Mississippi & Missouri rivers",Gateway Arch (St. Louis),The Show-Me State,"Agriculture, aerospace, brewing","Ragtime & jazz, gateway to the West",The Gateway Arch is the tallest U.S. monument; pioneer trails west began here
Montana,Helena,"Glacier National Park, Rocky Mountains, plains",Little Bighorn Battlefield,Big Sky Country,"Cattle ranching, wheat, mining","Cowboy & ranching life, Native American culture",Nicknamed 'Big Sky Country'; rich in dinosaur fossils
Nebraska,Lincoln,"Great Plains, Sandhills, Platte River","Chimney Rock, Carhenge",The Cornhusker State,"Corn, beef cattle, agriculture","Oregon Trail history, college football",Chimney Rock guided Oregon Trail pioneers; the only state with a one-house legislature
Nevada,Carson City,"Mojave Desert, Lake Tahoe, Great Basin","Las Vegas Strip, Hoover Dam",The Silver State,"Casinos/tourism, gold & silver mining",Las Vegas entertainment,Home of Las Vegas and the mysterious Area 51; the driest state
New Hampshire,Concord,"White Mountains, Mount Washington",Historic covered bridges,The Granite State,"Tourism, manufacturing, maple syrup",'Live Free or Die' spirit,Holds the nation's first presidential primary; Mount Washington has fierce winds
New Jersey,Trenton,"Atlantic shore, Pine Barrens","Atlantic City boardwalk, Liberty State Park",The Garden State,"Pharmaceuticals, chemicals, agriculture","Jersey Shore, diners",The Atlantic City boardwalk inspired the Monopoly board
New Mexico,Santa Fe,"Carlsbad Caverns, White Sands, Rio Grande","Taos Pueblo, Los Alamos labs",Land of Enchantment,"Oil & gas, tourism, federal labs","Native American & Hispanic culture, adobe",The first atomic bomb was tested here; famous for the Roswell UFO legend
New York,Albany,"Niagara Falls, Adirondacks, Finger Lakes","Statue of Liberty, Empire State Building, Times Square",The Empire State,"Finance (Wall Street), media, tourism","New York City, Broadway, melting pot","Home of Wall Street, the Statue of Liberty, and part of Niagara Falls"
North Carolina,Raleigh,"Outer Banks, Great Smoky Mountains, Cape Hatteras","Wright Brothers Memorial (Kitty Hawk), Biltmore Estate",The Tar Heel State,"Tobacco, furniture, technology, banking","'First in Flight', NASCAR, barbecue",The Wright Brothers made the first airplane flight at Kitty Hawk
North Dakota,Bismarck,"Badlands, Great Plains, Red River","Theodore Roosevelt N.P., International Peace Garden",The Peace Garden State,"Oil (Bakken), wheat, agriculture",Native American & pioneer heritage,An oil boom transformed the state; near the geographic center of North America
Ohio,Columbus,"Lake Erie, Ohio River","Rock & Roll Hall of Fame, Pro Football Hall of Fame",The Buckeye State,"Manufacturing, rubber/tires (Akron), farming",Birthplace of aviation and astronauts,Eight U.S. presidents were born here; the Wright Brothers and astronaut Neil Armstrong came from Ohio
Oklahoma,Oklahoma City,"Great Plains, Wichita Mountains, Tornado Alley","National Cowboy Museum, OKC National Memorial",The Sooner State,"Oil & natural gas, cattle, wheat","Many Native American nations, Route 66, cowboy culture",Settlers raced to claim land as 'Sooners'; home to dozens of tribal nations
Oregon,Salem,"Crater Lake, Mount Hood, Pacific coast",Columbia River dams,The Beaver State,"Timber/lumber, technology, wine","Outdoorsy lifestyle, Portland",Crater Lake is the deepest lake in the U.S.; the Oregon Trail ended here; Nike is based here
Pennsylvania,Harrisburg,"Pocono Mountains, Allegheny forests","Liberty Bell & Independence Hall (Philadelphia), Gettysburg",The Keystone State,"Steel, coal, chocolate (Hershey)","Founding history, Amish country, cheesesteaks",The Declaration of Independence and Constitution were signed in Philadelphia
Rhode Island,Providence,"Narragansett Bay, Atlantic beaches",Newport's Gilded Age mansions,The Ocean State,"Jewelry, boat building, tourism","Sailing, seaside resorts",The smallest state in the country
South Carolina,Columbia,"Atlantic beaches, Blue Ridge, Myrtle Beach","Fort Sumter, historic Charleston",The Palmetto State,"Textiles, tobacco, tourism, automobiles","Southern heritage, Gullah culture",The Civil War began at Fort Sumter
South Dakota,Pierre,"Badlands, Black Hills, Great Plains","Mount Rushmore, Crazy Horse Memorial",The Mount Rushmore State,"Agriculture, tourism, cattle","Lakota Sioux culture, Old West (Deadwood)",Four giant presidents are carved into Mount Rushmore
Tennessee,Nashville,"Great Smoky Mountains, Mississippi River","Grand Ole Opry, Graceland (Memphis)",The Volunteer State,"Music industry, automobiles, whiskey","Country music (Nashville), blues & rock (Memphis)",Nashville is the country-music capital; Elvis's Graceland is in Memphis
Texas,Austin,"Big Bend, Gulf coast, Rio Grande, plains","The Alamo (San Antonio), NASA Johnson Space Center",The Lone Star State,"Oil/petroleum, cattle, technology, cotton","Cowboys, barbecue, Tex-Mex",The second-largest state; once an independent country; 'Remember the Alamo'; NASA Mission Control
Utah,Salt Lake City,"Arches, Zion, Bryce Canyon, Great Salt Lake","Salt Lake Temple, Bonneville Salt Flats",The Beehive State,"Copper mining, technology, tourism","Mormon (LDS) heritage, skiing",Has five red-rock national parks; settled by Mormon pioneers; the Great Salt Lake
Vermont,Montpelier,"Green Mountains, brilliant fall foliage","Historic covered bridges, Ben & Jerry's factory",The Green Mountain State,"Maple syrup (#1), dairy, skiing","Rural life, autumn leaves",The top maple-syrup producer; has the smallest state capital
Virginia,Richmond,"Blue Ridge Mountains, Shenandoah, Chesapeake Bay","Mount Vernon, Monticello, the Pentagon, colonial Williamsburg",The Old Dominion,"Government & military, technology, tobacco","Colonial history, presidents",Called the 'Mother of Presidents' (8 were born here); Jamestown was the first English colony
Washington,Olympia,"Mount Rainier, Mount St. Helens, Olympic rainforest, Puget Sound",Space Needle (Seattle),The Evergreen State,"Aerospace (Boeing), software (Microsoft, Amazon), apples, coffee","Tech industry, coffee, grunge music","Leads the U.S. in apples; Mount St. Helens erupted in 1980; home of Boeing, Microsoft and Starbucks"
West Virginia,Charleston,"Appalachian Mountains, New River Gorge",New River Gorge Bridge,The Mountain State,"Coal mining, natural gas, chemicals","Appalachian culture, bluegrass",Lies entirely within the Appalachians; split from Virginia during the Civil War
Wisconsin,Madison,"Lake Michigan & Lake Superior, Door County",Lambeau Field,The Badger State,"Dairy & cheese, brewing, paper","Cheese pride, Green Bay Packers",Called 'America's Dairyland' for its cheese and milk
Wyoming,Cheyenne,"Yellowstone, Grand Teton, Devils Tower",Cheyenne Frontier Days rodeo,The Equality State,"Coal, oil & gas, cattle ranching, tourism","Cowboy & rodeo culture, Wild West","Least-populated state; first to give women the vote; home to Yellowstone, the first national park"
